asset_id,path,classification,reason,k3_action
M0A_piStar_semantics,CollatzClassical/KL2003/KL2003M0APiStarSemantics.lean,reusable_as_is,"T, bounded reachability, piStar, and root-count semantics are not k=2-specific.",Import/use if semantic hooks enter the pilot checker.
M0B_reachability_api,CollatzClassical/KL2003/KL2003M0BReachabilityAPI.lean,reusable_as_is,Bool/Prop reachability bridge is root/window generic.,Reuse for inverse-word route validation if needed.
entry_predecessor_fibers,CollatzClassical/KL2003/KL2003M0BEntryPredecessorDisjointness.lean,reusable_as_is,First-entry fiber disjointness is independent of k=2 row labels.,Reuse for generated disjointness obligations.
root_count_unit_base,CollatzClassical/KL2003/KL2003RootCountUnitBase.lean,reusable_as_is,Root counts itself in its own window is generic.,Reuse if base/unit hooks are part of the pilot.
two_branch_core,CollatzClassical/KL2003/KL2003M0BTwoBranchCore.lean,reusable_with_parameterization,"The proof pattern is useful, but k=3 rows may need generated arities beyond the k=2 two-branch shape.","Treat as template/pattern, not as complete row family."
D123_core_instantiations,CollatzClassical/KL2003/KL2003M0BD123CoreInstantiations.lean,k2_cabled,D1/D2/D3 are k=2 row instantiations.,Replace with generated k=3 row instantiations if the pilot reaches Lean rows.
K2_certificate_data,CollatzClassical/KL2003/KL2003K2CertificateData.lean,k2_cabled,"Constants, classes, variables, endpoints, and slacks are k=2-specific.",Replace with generated k=3 data artifact or data-only module.
K2_certificate_verifier,CollatzClassical/KL2003/KL2003K2CertificateVerifier.lean,reusable_with_parameterization,Verifier style is reusable; row shape and constants are k=2-specific.,Port pattern to generated data verifier.
K2_alpha_endpoints,CollatzClassical/KL2003/KL2003K2TranscendentalEndpoints.lean,reusable_with_parameterization,"Real/log/rpow techniques are reusable, but lambda/endpoints are pilot-specific.",Reuse theorem patterns only after k=3 lambda policy exists.
M0C_retarded_induction,CollatzClassical/KL2003/KL2003M0CRetardedInduction.lean,reusable_with_parameterization,"Retarded-induction architecture is reusable; rows, coefficients, and pads are k=2-specific.",Do not consume until k=3 abstract rows and certificate are generated.
ConcretePhi_realization,CollatzClassical/KL2003/KL2003ConcretePhiRealization.lean,k2_cabled,"ClassRoots, concretePhi, row22/25/28 seams, and V3 row28 case tree are mod-9/k=2-specific.",Replace with generated k=3 class envelope if the pilot reaches concrete Phi.
M1_surrogate_final,CollatzClassical/KL2003/KL2003M1Surrogate.lean,reusable_with_parameterization,"The final logb/arbitrary-x packaging pattern is useful, but theorem constants and Phi are k=2-specific.",Out of scope for inventory-only pilot.
M0A_examples,CollatzClassical/KL2003/KL2003M0APiStarSemanticsExamples.lean,unknown,Example module may help diagnostics but is not needed for the first inventory.,Review only if empirical hooks need Lean #eval examples.
