step_id,rule,input,derived,source_kind,status,proof_status,notes
source_class,D3 source residue,a % 9 = 8,a = 9*t + 8,PARAMETRIC_RULE,derived,data_trace_only,"Baseline and Figure A1 are tests, not generator sources."
retarded_child,D3 retarded branch,a,4*a; class 5; shift -2; exact window,PARAMETRIC_RULE,derived,data_trace_only,"Baseline and Figure A1 are tests, not generator sources."
advanced_child,D3 odd inverse child,a = 9*t + 8,c = 6*t + 5; 3*c + 1 = 2*a,PARAMETRIC_RULE,derived,data_trace_only,"Baseline and Figure A1 are tests, not generator sources."
c_split_mod5,split t % 3 = 0,c = 6*t + 5,c % 9 = 5,ARITHMETIC_DERIVATION,derived,data_trace_only,"Baseline and Figure A1 are tests, not generator sources."
c_split_mod2,split t % 3 = 1,c = 6*t + 5,c % 9 = 2,ARITHMETIC_DERIVATION,derived,data_trace_only,"Baseline and Figure A1 are tests, not generator sources."
c_split_mod8,split t % 3 = 2,c = 6*t + 5,c % 9 = 8,ARITHMETIC_DERIVATION,derived,data_trace_only,"Baseline and Figure A1 are tests, not generator sources."
cprime_definition,repeated class-8 repair,c % 9 = 8,3*cPrime + 1 = 2*c,PARAMETRIC_RULE,derived,data_trace_only,"Baseline and Figure A1 are tests, not generator sources."
cprime_split_mod2,post-deletion split,cPrime,cPrime % 9 = 2 -> exterior phi22,ARITHMETIC_DERIVATION,derived,data_trace_only,"Baseline and Figure A1 are tests, not generator sources."
cprime_split_mod5,post-deletion split,cPrime,cPrime % 9 = 5 -> 4*cPrime class 2 -> exterior phi22,ARITHMETIC_DERIVATION,derived,data_trace_only,"Baseline and Figure A1 are tests, not generator sources."
cprime_split_mod8,post-deletion split,cPrime,cPrime % 9 = 8 -> sibling phi28 + phi25 arm,ARITHMETIC_DERIVATION,derived,data_trace_only,"Baseline and Figure A1 are tests, not generator sources."
m2v3_shape,nested EL,depth 3,"min3(phi22, phi25, phi28)",PARAMETRIC_RULE,derived,data_trace_only,"Baseline and Figure A1 are tests, not generator sources."
m1v3_shape,source-faithful V3,M2V3,"min(phi28 + M2V3, phi25)",SOURCE_FIDELITY_RULE,derived,data_trace_only,"Baseline and Figure A1 are tests, not generator sources."
outer_shape,row28 EL,M1V3,"min(phi28 + M1V3, phi22)",PARAMETRIC_RULE,derived,data_trace_only,"Baseline and Figure A1 are tests, not generator sources."
deletion_saturation,same-mode smaller-shift deletion,D1/D3 tree,"deleted nodes ['G04', 'G10']; saturation fixed point",PARAMETRIC_RULE,derived,data_trace_only,"Baseline and Figure A1 are tests, not generator sources."
sibling_guard,post-deletion counting,repeated class 8,count cPrime and 4*c sibling fibers; never parent plus descendant,PARAMETRIC_RULE,derived,data_trace_only,"Baseline and Figure A1 are tests, not generator sources."
slack_reference,baseline certificate target,certificate_constants.csv,L2NT_D3_slack = 2077/145800,BASELINE_REGRESSION_TARGET,attached,data_trace_only,"Baseline and Figure A1 are tests, not generator sources."
