node_id,path_node_ids,path_labels,path_length,note
N00,N09 N13 N03 N00,"\phi_2^8 (y) \equiv (8,0) -> N13 -> (2, \alpha -1 ) -> (8, \alpha -3)",3,
N01,N09 N01,"\phi_2^8 (y) \equiv (8,0) -> (5,-2)",1,
N02,N09 N13 N03 N14 N02,"\phi_2^8 (y) \equiv (8,0) -> N13 -> (2, \alpha -1 ) -> N14 -> (2, 2\alpha -3)",4,
N03,N09 N13 N03,"\phi_2^8 (y) \equiv (8,0) -> N13 -> (2, \alpha -1 )",2,
N04,N09 N13 N04,"\phi_2^8 (y) \equiv (8,0) -> N13 -> (8,\alpha -1)",2,
N05,N09 N13 N03 N14 N05,"\phi_2^8 (y) \equiv (8,0) -> N13 -> (2, \alpha -1 ) -> N14 -> (8, 2\alpha -3)",4,
N06,N09 N13 N03 N14 N02 N06,"\phi_2^8 (y) \equiv (8,0) -> N13 -> (2, \alpha -1 ) -> N14 -> (2, 2\alpha -3) -> (8, 2\alpha -5)",5,
N07,N09 N13 N03 N14 N02 N15 N07,"\phi_2^8 (y) \equiv (8,0) -> N13 -> (2, \alpha -1 ) -> N14 -> (2, 2\alpha -3) -> N15 -> (5, 3\alpha -5)",6,
N08,N09 N13 N03 N14 N02 N15 N08,"\phi_2^8 (y) \equiv (8,0) -> N13 -> (2, \alpha -1 ) -> N14 -> (2, 2\alpha -3) -> N15 -> (8, 3\alpha -5)",6,
N09,N09,"\phi_2^8 (y) \equiv (8,0)",0,
N10,N09 N13 N03 N14 N02 N15 N10,"\phi_2^8 (y) \equiv (8,0) -> N13 -> (2, \alpha -1 ) -> N14 -> (2, 2\alpha -3) -> N15 -> (2,3\alpha -5)",6,
N11,N09 N13 N03 N14 N11,"\phi_2^8 (y) \equiv (8,0) -> N13 -> (2, \alpha -1 ) -> N14 -> (5, 2\alpha -3)",4,
N12,N09 N13 N12,"\phi_2^8 (y) \equiv (8,0) -> N13 -> (5, \alpha-1)",2,
N13,N09 N13,"\phi_2^8 (y) \equiv (8,0) -> N13",1,
N14,N09 N13 N03 N14,"\phi_2^8 (y) \equiv (8,0) -> N13 -> (2, \alpha -1 ) -> N14",3,
N15,N09 N13 N03 N14 N02 N15,"\phi_2^8 (y) \equiv (8,0) -> N13 -> (2, \alpha -1 ) -> N14 -> (2, 2\alpha -3) -> N15",5,
